ID,UBHI,Object Number,Interval Top(m),Interval Bottom(m),Layer Name,Interval Desc,Sampling Date,Material Type,Description,Aluminium (ppm),Arsenic (ppm),Barium(ppm),Beryllium (ppm),Boron (ppm),Cadmium (ppm),Calcium (ppm),Cesium (ppm),Chromium(ppm),Cobalt(ppm),Copper(ppm),Hafnium(ppm),Iridium(ppm),Iron (ppm),Lanthanum(ppm),Lead (ppm),Lithium (ppm),Magnesium(ppm),Manganese(ppm),Mercury(ppm),Molybdenum(ppm),Nickel (ppm),Nubium (ppm),Potassium (ppm),Rhenium(ppm),Rubidium(ppm),Scandinavium(ppm),Selenium(ppm),Silver(ppm),Sodium(ppm),Strontium(ppm),Thorium(ppm),Tin(ppm),Titanium(ppm),Vanadium(ppm),Zinc(ppm)   ,45Sc (ppm),89Yb (ppm),139La (ppm),140Ce (ppm),141Pr (ppm),142Nd (ppm),143Nd (ppm),144Nd (ppm),144Sm (ppm),145Nd (ppm),146Nd (ppm),147Sm(ppm),148Sm (ppm),148Nd (ppm),149Sm (ppm),150Sm (ppm),150Nd (ppm),152Sm (ppm),153Eu (ppm),154Sm (ppm),157Gd (ppm),159Tb (ppm),163Dy(ppm),165Ho (ppm),166Er (ppm),169Tm (ppm),172Yb (ppm),175Lu (ppm),176Lu (ppm),228Th(ppm),229Th(ppm),230Th (ppm),232Th (ppm),9Be (ppm),69Ga (ppm),71Ga (ppm),74Se (ppm),76Se (ppm),77Se (ppm),78Se (ppm),80Se (ppm),82Se (ppm),85Rb (ppm),87Rb (ppm),130Ba (ppm),132Ba (ppm),133Cs (ppm),134Ba (ppm),135Ba (ppm),136Ba (ppm),137Ba (ppm),138Ba (ppm),203Tl (ppm),204Pb(ppm),205Tl(ppm),205Pb (ppm),206Pb(ppm),207Pb(ppm),208Pb(ppm),210Pb (ppm),232U(ppm),233U(ppm),234U(ppm),236U(ppm),238U(ppm)
,E-MRNI-2,I,1234,1239,BOKABIL,,1.10.2023,Sediment,,1.695,100.2,42.25,181.6,30.74,68.55,0.25,1.695,100.2,42.25,181.6,30.74,68.55,0.25,1.695,100.2,42.25,181.6,30.74,68.55,0.25,1.695,100.2,42.25,181.6,30.74,68.55,0.25,1.695,100.2,42.25,181.6,30.74,68.55,0.25,1.695,100.2,42.25,181.6,30.74,68.55,0.25,1.695,100.2,42.25,181.6,30.74,68.55,0.25,1.695,100.2,42.25,181.6,30.74,68.55,0.25,1.695,100.2,42.25,181.6,30.74,68.55,0.25,1.695,100.2,42.25,181.6,30.74,68.55,0.25,1.695,100.2,42.25,181.6,30.74,68.55,0.25,1.695,100.2,42.25,181.6,30.74,68.55,0.25,1.695,100.2,42.25,181.6,30.74,68.55,0.25,1.695,100.2,42.25,181.6,30.74,68.55,0.25,1.695,100.2,42.25
,E-NOJN-1,II,1234,1239,BOKABIL,,1.10.2023,Sediment,,2.006,119,45.19,192.4,30.52,73.19,0.287,2.006,119,45.19,192.4,30.52,73.19,0.287,2.006,119,45.19,192.4,30.52,73.19,0.287,2.006,119,45.19,192.4,30.52,73.19,0.287,2.006,119,45.19,192.4,30.52,73.19,0.287,2.006,119,45.19,192.4,30.52,73.19,0.287,2.006,119,45.19,192.4,30.52,73.19,0.287,2.006,119,45.19,192.4,30.52,73.19,0.287,2.006,119,45.19,192.4,30.52,73.19,0.287,2.006,119,45.19,192.4,30.52,73.19,0.287,2.006,119,45.19,192.4,30.52,73.19,0.287,2.006,119,45.19,192.4,30.52,73.19,0.287,2.006,119,45.19,192.4,30.52,73.19,0.287,2.006,119,45.19,192.4,30.52,73.19,0.287,2.006,119,45.19
,E-MKRN-1,III,1234,1239,BOKABIL,,1.10.2023,Sediment,,2.933,123.9,45.49,168.5,30.4,62.17,0.279,2.933,123.9,45.49,168.5,30.4,62.17,0.279,2.933,123.9,45.49,168.5,30.4,62.17,0.279,2.933,123.9,45.49,168.5,30.4,62.17,0.279,2.933,123.9,45.49,168.5,30.4,62.17,0.279,2.933,123.9,45.49,168.5,30.4,62.17,0.279,2.933,123.9,45.49,168.5,30.4,62.17,0.279,2.933,123.9,45.49,168.5,30.4,62.17,0.279,2.933,123.9,45.49,168.5,30.4,62.17,0.279,2.933,123.9,45.49,168.5,30.4,62.17,0.279,2.933,123.9,45.49,168.5,30.4,62.17,0.279,2.933,123.9,45.49,168.5,30.4,62.17,0.279,2.933,123.9,45.49,168.5,30.4,62.17,0.279,2.933,123.9,45.49,168.5,30.4,62.17,0.279,2.933,123.9,45.49
,E-MKRN-1,I,1234,1239,BOKABIL,,1.10.2023,Sediment,,3.006,105.7,56.18,144.6,25.39,55.78,0.321,3.006,105.7,56.18,144.6,25.39,55.78,0.321,3.006,105.7,56.18,144.6,25.39,55.78,0.321,3.006,105.7,56.18,144.6,25.39,55.78,0.321,3.006,105.7,56.18,144.6,25.39,55.78,0.321,3.006,105.7,56.18,144.6,25.39,55.78,0.321,3.006,105.7,56.18,144.6,25.39,55.78,0.321,3.006,105.7,56.18,144.6,25.39,55.78,0.321,3.006,105.7,56.18,144.6,25.39,55.78,0.321,3.006,105.7,56.18,144.6,25.39,55.78,0.321,3.006,105.7,56.18,144.6,25.39,55.78,0.321,3.006,105.7,56.18,144.6,25.39,55.78,0.321,3.006,105.7,56.18,144.6,25.39,55.78,0.321,3.006,105.7,56.18,144.6,25.39,55.78,0.321,3.006,105.7,56.18
,E-MRNI-2,II,1234,1239,BOKABIL,,1.10.2023,Sediment,,3.42,87.75,55.26,108.1,20.03,43.38,0.328,3.42,87.75,55.26,108.1,20.03,43.38,0.328,3.42,87.75,55.26,108.1,20.03,43.38,0.328,3.42,87.75,55.26,108.1,20.03,43.38,0.328,3.42,87.75,55.26,108.1,20.03,43.38,0.328,3.42,87.75,55.26,108.1,20.03,43.38,0.328,3.42,87.75,55.26,108.1,20.03,43.38,0.328,3.42,87.75,55.26,108.1,20.03,43.38,0.328,3.42,87.75,55.26,108.1,20.03,43.38,0.328,3.42,87.75,55.26,108.1,20.03,43.38,0.328,3.42,87.75,55.26,108.1,20.03,43.38,0.328,3.42,87.75,55.26,108.1,20.03,43.38,0.328,3.42,87.75,55.26,108.1,20.03,43.38,0.328,3.42,87.75,55.26,108.1,20.03,43.38,0.328,3.42,87.75,55.26
,E-MRNI-2,III,1234,1239,BOKABIL,,1.10.2023,Sediment,,5.396,96.32,51.34,127.6,24.84,46.7,0.437,5.396,96.32,51.34,127.6,24.84,46.7,0.437,5.396,96.32,51.34,127.6,24.84,46.7,0.437,5.396,96.32,51.34,127.6,24.84,46.7,0.437,5.396,96.32,51.34,127.6,24.84,46.7,0.437,5.396,96.32,51.34,127.6,24.84,46.7,0.437,5.396,96.32,51.34,127.6,24.84,46.7,0.437,5.396,96.32,51.34,127.6,24.84,46.7,0.437,5.396,96.32,51.34,127.6,24.84,46.7,0.437,5.396,96.32,51.34,127.6,24.84,46.7,0.437,5.396,96.32,51.34,127.6,24.84,46.7,0.437,5.396,96.32,51.34,127.6,24.84,46.7,0.437,5.396,96.32,51.34,127.6,24.84,46.7,0.437,5.396,96.32,51.34,127.6,24.84,46.7,0.437,5.396,96.32,51.34
,E-GJLA-1,I,1234,1239,BOKABIL,,1.10.2023,Sediment,,4.233,100.2,48.65,151.2,26.92,53.98,0.4,4.233,100.2,48.65,151.2,26.92,53.98,0.4,4.233,100.2,48.65,151.2,26.92,53.98,0.4,4.233,100.2,48.65,151.2,26.92,53.98,0.4,4.233,100.2,48.65,151.2,26.92,53.98,0.4,4.233,100.2,48.65,151.2,26.92,53.98,0.4,4.233,100.2,48.65,151.2,26.92,53.98,0.4,4.233,100.2,48.65,151.2,26.92,53.98,0.4,4.233,100.2,48.65,151.2,26.92,53.98,0.4,4.233,100.2,48.65,151.2,26.92,53.98,0.4,4.233,100.2,48.65,151.2,26.92,53.98,0.4,4.233,100.2,48.65,151.2,26.92,53.98,0.4,4.233,100.2,48.65,151.2,26.92,53.98,0.4,4.233,100.2,48.65,151.2,26.92,53.98,0.4,4.233,100.2,48.65
,E-RKMN-2,II,1234,1239,BOKABIL,,1.10.2023,Sediment,,3.617,71.35,47.17,121.4,31.95,48.09,0.454,3.617,71.35,47.17,121.4,31.95,48.09,0.454,3.617,71.35,47.17,121.4,31.95,48.09,0.454,3.617,71.35,47.17,121.4,31.95,48.09,0.454,3.617,71.35,47.17,121.4,31.95,48.09,0.454,3.617,71.35,47.17,121.4,31.95,48.09,0.454,3.617,71.35,47.17,121.4,31.95,48.09,0.454,3.617,71.35,47.17,121.4,31.95,48.09,0.454,3.617,71.35,47.17,121.4,31.95,48.09,0.454,3.617,71.35,47.17,121.4,31.95,48.09,0.454,3.617,71.35,47.17,121.4,31.95,48.09,0.454,3.617,71.35,47.17,121.4,31.95,48.09,0.454,3.617,71.35,47.17,121.4,31.95,48.09,0.454,3.617,71.35,47.17,121.4,31.95,48.09,0.454,3.617,71.35,47.17
,E-MRNI-2,III,1234,1239,BOKABIL,,1.10.2023,Sediment,,4.963,93.54,56.28,126.8,28.64,41.54,0.489,4.963,93.54,56.28,126.8,28.64,41.54,0.489,4.963,93.54,56.28,126.8,28.64,41.54,0.489,4.963,93.54,56.28,126.8,28.64,41.54,0.489,4.963,93.54,56.28,126.8,28.64,41.54,0.489,4.963,93.54,56.28,126.8,28.64,41.54,0.489,4.963,93.54,56.28,126.8,28.64,41.54,0.489,4.963,93.54,56.28,126.8,28.64,41.54,0.489,4.963,93.54,56.28,126.8,28.64,41.54,0.489,4.963,93.54,56.28,126.8,28.64,41.54,0.489,4.963,93.54,56.28,126.8,28.64,41.54,0.489,4.963,93.54,56.28,126.8,28.64,41.54,0.489,4.963,93.54,56.28,126.8,28.64,41.54,0.489,4.963,93.54,56.28,126.8,28.64,41.54,0.489,4.963,93.54,56.28
,E-NOJN-1,I,1234,1239,BOKABIL,,1.10.2023,Sediment,,2.078,131.9,27.68,125.1,13.36,31.04,0.367,2.078,131.9,27.68,125.1,13.36,31.04,0.367,2.078,131.9,27.68,125.1,13.36,31.04,0.367,2.078,131.9,27.68,125.1,13.36,31.04,0.367,2.078,131.9,27.68,125.1,13.36,31.04,0.367,2.078,131.9,27.68,125.1,13.36,31.04,0.367,2.078,131.9,27.68,125.1,13.36,31.04,0.367,2.078,131.9,27.68,125.1,13.36,31.04,0.367,2.078,131.9,27.68,125.1,13.36,31.04,0.367,2.078,131.9,27.68,125.1,13.36,31.04,0.367,2.078,131.9,27.68,125.1,13.36,31.04,0.367,2.078,131.9,27.68,125.1,13.36,31.04,0.367,2.078,131.9,27.68,125.1,13.36,31.04,0.367,2.078,131.9,27.68,125.1,13.36,31.04,0.367,2.078,131.9,27.68
