ID,UBHI,Borehole Name,Cutting Top (m),Cutting Base (m),Activity Type,Analysis Type,Segment Depth,Lithology,Layer Name,S1 ,S2,S2 after Extraction ,S3 ,PI,Tmax,HI,OI,PC ,RC,TOC,MinC,OSI,VRo,Others,Special Observations,Report Title,Year,Author,Analysed At,Remarks,Insert User,Insert Date,Update User,Update Date
,CNTB-8,,200,205,,Source rock evaluation,,,Shumar,0.03,0.07,,0.3,0.31,354,140,600,,,0.05,,,,,,,,,,,,,,
,CNTB-8,,210,215,,Source rock evaluation,,,Shumar,0.02,0.03,,0.21,0.37,351,33.33333333,233.3333333,,,0.09,,,,,,,,,,,,,,
,CNTB-8,,220,225,,Source rock evaluation,,,Shumar,0.02,0.04,,0.14,0.29,485,133.3333333,466.6666667,,,0.03,,,,,,,,,,,,,,
,CNTB-8,,230,235,,Source rock evaluation,,,Shumar,0.01,0.01,,0.15,-,467,50,750,,,0.02,,,,,,,,,,,,,,
,CNTB-8,,240,245,,Source rock evaluation,,,Shumar,0.01,0.02,,0.1,0.39,312,100,500,,,0.02,,,,,,,,,,,,,,
,CNTB-8,,250,255,,Source rock evaluation,,,Shumar,0.01,0.03,,0.09,0.29,485,50,150,,,0.06,,,,,,,,,,,,,,
,CNTB-8,,260,265,,Source rock evaluation,,,Shumar,0.01,0.03,,0.11,0.32,484,150,550,,,0.02,,,,,,,,,,,,,,
,CNTB-8,,270,275,,Source rock evaluation,,,Shumar,0.01,0.02,,0.11,0.3,486,100,550,,,0.02,,,,,,,,,,,,,,
,CNTB-8,,280,285,,Source rock evaluation,,,Shumar,0.01,0.03,,0.12,0.28,353,100,400,,,0.03,,,,,,,,,,,,,,
,CNTB-8,,290,295,,Source rock evaluation,,,Shumar,0.01,0.02,,0.14,-,486,33.33333333,233.3333333,,,0.06,,,,,,,,,,,,,,
,CNTB-8,,300,305,,Source rock evaluation,,,Shumar,0.01,0.04,,0.05,0.19,486,44.44444444,55.55555556,,,0.09,,,,,,,,,,,,,,
,CNTB-8,,310,315,,Source rock evaluation,,,Shumar,0.01,0.08,,0.08,-,485,133.3333333,133.3333333,,,0.06,,,,,,,,,,,,,,
,CNTB-8,,320,325,,Source rock evaluation,,,Shumar,0.02,0.01,,0.18,0.3,486,25,450,,,0.04,,,,,,,,,,,,,,
