ID,UBHI,Borehole Name,Core Sample ID,Core Top (m),Core Base (m),Activity Type,Analysis Type,Sample Top (m),Sample Bottom (m),Segment Depth,Lithology,Layer Name,S1,S2,S2 after Extraction,S3,PI,Tmax ,HI,OI,PC,RC,TOC,MinC,,OSI,VRo,Others,Special Observations,Report Title,Year,Author,Analysed At,Remarks,Insert User,Insert Date,Update User,Update Date
,MNAF-18,,"CC#1,T1",1062.5,1067.1,,Source rock evaluation,4,2,,,Lower Goru,0.01,0.09,,0.65,0.08,418,31,224,,10,0.29,20,sfdaf RC Value: 10 MInC Value: 20,,,,,,,,,sfdaf,,,,
,MNAF-18,,"CC#1,T2",1062.5,1067.1,,Source rock evaluation,2,1,,,Lower Goru,0.02,0.23,,0.92,0.07,419,100,400,,23,0.23,23,RC Value: 23 MInC Value: 23,,,,,,,,,safas,,,,
,MNAF-18,,"CC#1,T3",1062.5,1067.1,,Source rock evaluation,1,0,,,Lower Goru,0.01,0.22,,0.81,0.05,412,110,405,,34,0.2,24,RC Value: 34 MInC Value: 24,,,,,,,,,xzcvcvz,,,,
,MNAF-18,,"CC#1,T4",1062.5,1067.1,,Source rock evaluation,4,1,,,Lower Goru,0.01,0.19,,0.7,0.05,418,158,583,,2,0.12,25,RC Value: 2 MInC Value: 25,,,,,,,,,zxcvzvx,,,,
,MNAF-18,,"CC#1,T5",1062.5,1067.1,,Source rock evaluation,5,4,,,Lower Goru,0.01,0.16,,0.85,0.08,416,229,1214,,34,0.07,23,RC Value: 34 MInC Value: 23,,,,,,,,,zxvzv,,,,
,MNAF-18,,"CC#1,T6",1062.5,1067.1,,Source rock evaluation,5,4,,,Lower Goru,0.01,0.15,,0.79,0.06,422,150,790,,5,0.1,24,RC Value: 5 MInC Value: 24,,,,,,,,,zxcvzvx,,,,
,MNAF-18,,"CC#1,T7",1062.5,1067.1,,Source rock evaluation,2,0,,,Lower Goru,0.01,0.18,,0.7,0.07,416,95,368,,55,0.19,24,RC Value: 55 MInC Value: 24,,,,,,,,,zxcvzvx,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Back Calculation,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,PC,RC,TOC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.13,0.16,0.29,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.12,0.11,0.23,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.09,0.03,0.12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.02,0.05,0.07,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.04,0.06,0.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.11,0.08,0.19,,,,,,,,,,,,,,,
