SampleType,Formation,Depth,Range,TOC,S2,,,,,,,
cuttings,Shumar,200,200-210,0.05,0.07,,,,,,,
cuttings,Shumar,210,210-220,0.09,0.03,,,,,,,
cuttings,Shumar,220,220-230,0.03,0.04,,,,,,,
cuttings,Shumar,230,230-240,0.02,0.01,,,,,,,
cuttings,Shumar,240,240-250,0.02,0.02,,,,,,,
cuttings,Shumar,250,250-260,0.06,0.03,,,,,,,
cuttings,Shumar,260,260-270,0.02,0.03,,,,,,,
cuttings,Shumar,270,270-280,0.02,0.02,,,,,,,
cuttings,Shumar,280,280-290,0.03,0.03,,,,,,,
cuttings,Shumar,290,290-300,0.06,0.02,,,,,,, 
cuttings,Shumar,300,300-310,0.09,0.04,,,,,,,
cuttings,Shumar,310,310-320,0.06,0.08,,,,,,,
cuttings,Shumar,320,320-330,0.04,0.01,,,,,,,
cuttings,Shumar,330,330-340,0.05,0.02,,,,,,,
cuttings,Shumar,340,340-350,0.03,0.03,,,,,,,
cuttings,Shumar,350,350-360,0.04,0.05,,,,,,,
cuttings,Shumar,360,360-370,0.02,0.04,,,,,,,
cuttings,Shumar,370,370-380,0.05,0.03,,,,,,,
cuttings,Shumar,380,380-390,0.14,0.32,,,,,,,
cuttings,Shumar,390,390-400,0.48,1.62,,,,,,,
cuttings,Bandah,400,400-410,0.47,1.56,,,,,,,
cuttings,Bandah,410,410-420,0.21,0.21,,,,,,,
cuttings,Bandah,420,420-430,0.16,0.3,,,,,,,
cuttings,Bandah,430,430-440,0.19,0.33,,,,,,,
cuttings,Bandah,440,440-450,0.18,0.18,,,,,,,
cuttings,Bandah,450,450-460,0.11,0.17,,,,,,,
cuttings,Bandah,460,460-470,0.24,0.42,,,,,,,
cuttings,Bandah,470,470-480,0.4,1.02,,,,,,,
cuttings,Bandah,480,480-490,0.26,0.26,,,,,,,
cuttings,Bandah,490,490-500,0.41,0.85,,,,,,,
cuttings,Bandah,500,500-505,0.03,0.07,,,,,,,
cuttings,Bandah,505,505-510,0.46,0.74,,,,,,,
cuttings,Bandah,510,510-515,0.22,0.51,,,,,,,
cuttings,Bandah,515,515-520,0.27,0.47,,,,,,,
