S.No.,WELL NAME,Depth,Object,Formation,DBT(dibenzothiophene),Phe (Phenanthrene),DBT/Ph,3-MP,2-MP,9-MP,1-MP,MPI=1.5*(2MP+3MP)/(P+1MP+9MP),VRc=0.4+(0.6*MPI),NDR,"1,2,7 TMN (trimethylnaphthalene)","1,3,7 TMN (trimethylnaphthalene)","1,2,7 TMN/1,3,7 TMN",ETR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,1,I,X,66121,970197,0.068152138,605800,775278,534531,512070,1.027181205,1.016309,0.134654,0.134654,0.134654,0.134654,0.134654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,2,II,Y,18671,332279,0.056190731,101011,110235,175746,168840,0.468142096,0.680885,0.321310,0.321310,0.321310,0.321310,0.321310,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C,3,III,Z,84002,1009613,0.083202177,191127,209793,301749,299573,0.373311152,0.623987,0.232300,0.232300,0.232300,0.232300,0.232300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,D,4,IV,X,111813,1564582,0.071465094,299891,324122,481205,468800,0.372235878,0.623342,0.327067,0.327067,0.327067,0.327067,0.327067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,E,5,V,Y,95666,1314313,0.072787837,267650,296384,448261,432767,0.385384776,0.631231,0.375890,0.375890,0.375890,0.375890,0.375890,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,F,6,I,Z,102925,1531741,0.06719478,332296,372103,577180,550819,0.397256311,0.638354,0.424713,0.424713,0.424713,0.424713,0.424713,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,G,7,II,X,189326,5525673,0.034262976,1405793,1932410,1776632,1553584,0.565420874,0.739253,0.473536,0.473536,0.473536,0.473536,0.473536,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,H,8,III,Y,82329,3337267,0.024669587,119207,137521,119976,115842,0.107775774,0.464665,0.522359,0.522359,0.522359,0.522359,0.522359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,I,9,IV,Z,538,19794,0.027179954,11161,12900,21257,14378,0.651130275,0.790678,0.571182,0.571182,0.571182,0.571182,0.571182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,J,10,V,X,125837,3909863,0.032184504,351368,428091,270852,236502,0.264688943,0.558813,0.620005,0.620005,0.620005,0.620005,0.620005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,K,11,I,Y,33619,954835,0.035209225,160712,197113,198081,163544,0.40771273,0.644628,0.668828,0.668828,0.668828,0.668828,0.668828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,L,12,V,Z,212,7379,0.02873018,3672,4849,5243,3997,0.769089596,0.861454,0.717651,0.717651,0.717651,0.717651,0.717651,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,M,13,Well head,X,1399,50863,0.027505259,12008,15253,13202,10279,0.550030937,0.730019,0.766474,0.766474,0.766474,0.766474,0.766474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,N,14,II,Y,344,14636,0.02350369,6429,8926,7786,6468,0.797248183,0.878349,0.815297,0.815297,0.815297,0.815297,0.815297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,O,15,III,Z,2046,72349,0.028279589,17433,22712,17952,14755,0.573194296,0.743917,0.864120,0.864120,0.864120,0.864120,0.864120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P,16,I,X,27975,1171789,0.023873752,85914,107354,87580,91517,0.21460138,0.528761,0.912943,0.912943,0.912943,0.912943,0.912943,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Q,17,I,Y,10820,412460,0.026232847,59712,72489,82111,64729,0.354553013,0.612732,0.961766,0.961766,0.961766,0.961766,0.961766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,R,18,I,Z,189326,5525673,0.034262976,1405793,1932410,1776632,1553584,0.565420874,0.739253,1.010589,1.010589,1.010589,1.010589,1.010589,,,,,,,,,,,,,,,,,,,,,,,,,,,,
