S.No.,WELL NAME,Depth,Object,Formation, Pristane (Pr),Phytane (Ph),Pr/Ph
1,A,1,I,X,1000,700,1.43
2,B,2,II,Y,1010,675,1.50
3,C,3,III,Z,1020,650,1.57
4,D,4,IV,X,1030,625,1.65
5,E,5,V,Y,1040,600,1.73
6,F,6,I,Z,1050,575,1.83
7,G,7,II,X,1060,550,1.93
8,H,8,III,Y,1070,525,2.04
9,I,9,IV,Z,1080,500,2.16
10,J,10,V,X,1090,475,2.29
11,K,11,I,Y,1100,450,2.44
12,L,12,V,Z,1110,425,2.61
13,M,13,Well head,X,1120,400,2.80
14,N,14,II,Y,1130,375,3.01
15,O,15,III,Z,1140,350,3.26
16,P,16,I,X,1150,325,3.54
17,Q,17,I,Y,1160,300,3.87
18,R,18,I,Z,1170,275,4.25
,,,,,,,
