s_no,well_name,depth,formation,delta_sat,delta_aro,cv
1,CH-16,3231-3237,BCS-V,-28.1,-26.7,0.16900000000000226
2,CH-18,2289-2293,TS-II,-27.2,-26.3,-1.220000000000022
3,CH-22,"2736-41, & 2753-57 ,2767-69",TS-IV,-27.5,-26.5,-0.9050000000000171
4,CH-56,3331-3339,BMS,-29.0,-26.2,3.5559999999999885
5,CMG-14,"2671-2667, 2663- 2658 & 2653- 2656",TS-VA,-27.99,-26.2,1.000699999999986
6,G-217,"3672-3675, 3675-3684, 3768-3771, 3771-76, 3776-3779,3779-3787",BCS-V,-28.3,-26.0,2.228999999999983
7,G-391,"4044-49, 4055-4057, 4061-69, 4073-4076, 4080-86,4112-30",BMS (U+L),-27.8,-26.0,0.9639999999999969
8,NG-09,3921-3926,BCS-I,-27.8,-26.5,-0.14600000000000257
9,NG-12,3979-3987,BCS-I,-28.4,-26.2,2.037999999999988
10,DMG-40,3832-3837,BMS,-27.6,-26.4,-0.4300000000000015
11,DMG-43,3860.5-3862.5,BMS (SUB),-28.1,-26.5,0.6129999999999978
