S.No.,Well Name,"Depth(m)/
Object",Formation/Age,Collection date,Molecular Composition of Gases (% Mol),,,,,,,,,,,,,"Stable Carbon Isotopic values
(δ13C ‰)",,,,,,,,,,,,,
,,,,,C1,C2,C3,iC4,nC4,iC5,nC5,C6+,"Wetness Index (%), C2+",N2,CO2,He,H2, δ13C1, δ13C2, δ13C3, δ13iC4, δ13nC4, δ13iC5, δ13nC5, δ13CO2,C1/C2+C3,C2/C3,delC2-delC3,Ln(C2/C3),C1/C2,Ln(C1/C2)
1,B-157N-10,2541-2546/ II,Mukta,18.02.2025,72.59,10.87,9.02,1.92,2.24,0.62,0.49,0.25,25.92,0.08,1.92,0.00,0.01,-43.90,-28.30,-25.90,-25.60,-24.60,-23.30,-23.80,-5.20,3.65,1.20,-2.40,0.19,6.679699533,1.899073006
2,B-157N-10,2544.01/ RCI,Mukta,16.12.2024,78.97,8.92,5.47,1.24,1.51,0.61,0.55,0.60,19.31,0.67,1.46,0.00,0.00,-44.34,-27.92,-25.52,-25.90,-24.50,-23.54,-23.90,-12.06,5.49,1.63,-2.40,0.49,8.849349401,2.180343942
3,BH-93,"2046-44, 2039-37, 2034-29, 2024-22, 2016-11/ III",Panvel,27.10.2024,83.72,4.32,1.74,0.36,0.53,0.22,0.26,0.18,8.33,2.98,5.69,0.00,0.00,-36.99,-24.48,-22.82,-22.85,-22.35,-21.72,-21.86,-6.05,13.81,2.48,-1.66,0.91,19.36719905,2.963580865
4,BH-94,2166.5/ MDT,Panvel,24.01.2025,37.46,11.86,12.97,2.28,4.06,1.42,1.00,0.18,47.40,19.69,9.09,0.00,0.00,-48.60,-32.18,-28.06,-27.00,-26.90,-25.20,-25.50,-19.40,1.51,0.91,-4.12,-0.09,3.159991228,1.150569252
5,BH-96,993.94/ RCI,Chinchini,04.03.2025,84.34,6.92,4.65,0.92,1.44,0.44,0.50,0.33,15.27,0.46,0.00,0.00,0.00,-39.50,-27.60,-25.10,-23.80,-24.70,-24.10,-23.90,-,7.29,1.49,-2.50,0.40,12.18530749,2.500230922
6,BH-96,1120.29/ RCI,Bandra,04.03.2025,83.84,6.97,4.50,0.87,1.47,0.45,0.59,0.38,15.37,0.92,0.00,0.00,0.00,-38.76,-27.27,-25.05,-23.45,-24.21,-20.66,-23.40,-,7.31,1.55,-2.22,0.44,12.02691772,2.487147281
7,BS-19,1087-1089/ I,Bandra,05.01.2025,89.38,5.07,2.66,0.93,0.90,0.40,0.34,0.12,10.45,0.19,0.00,0.00,0.00,-41.80,-26.10,-22.80,-23.40,-22.40,-22.50,-21.90,-,11.55,1.91,-3.30,0.64,17.61264219,2.86861695
8,C-39-19,1925.01/ MDT,Mahuva,16.02.2025,61.02,11.73,13.10,4.64,4.33,1.67,1.41,0.54,38.01,0.36,1.19,0.00,0.00,-48.10,-29.50,-26.04,-26.45,-25.60,-25.00,-24.50,-22.10,2.46,0.90,-3.46,-0.11,5.203620319,1.649354598
9,MBS171HDA-1,"3675.5-3673.52, 3656-3653/ I",Panna,04.10.2024,86.46,6.79,2.04,0.42,0.48,0.20,0.19,0.18,10.65,0.50,2.73,0.00,0.01,-42.87,-26.45,-23.63,-23.78,-22.38,-22.54,-25.12,-0.73,9.78,3.32,-2.82,1.20,12.72645387,2.543682809
10,MBS181HNA-1,1930.18/ MDT,Mahuva,22.01.2025,83.27,6.54,2.61,0.84,0.58,0.30,0.21,0.09,11.83,1.03,4.53,0.00,0.00,-41.09,-24.79,-22.99,-23.56,-23.70,-22.26,-23.68,-18.19,9.11,2.51,-1.80,0.92,12.73951163,2.544708316
11,MBS181HNA-1,2426.2/ MDT,Panna,14.02.2025,82.82,6.19,2.94,0.68,0.92,0.40,0.40,0.47,12.65,0.61,4.58,0.00,0.00,-40.40,-27.80,-26.06,-26.03,-25.60,-25.40,-25.54,-7.27,9.07,2.11,-1.74,0.75,13.37181813,2.593149367
12,MBS181HLA-1,2676-2666/ I,Diu-belapur,13.03.2025,83.40,9.37,3.59,0.53,0.59,0.13,0.12,0.05,14.72,2.20,0.00,0.00,0.01,-42.60,-29.70,-25.30,-26.70,-24.80,-,-,-,6.43,2.61,-4.40,0.96,8.899324966,2.185975427
13,MBS202HCA-1,2309.79/ RCI,Lr Bassein,23.11.2024,75.00,10.91,7.49,1.60,2.40,0.75,0.81,0.45,24.55,0.02,0.56,0.00,0.03,-41.20,-28.47,-25.96,-26.33,-25.04,-25.62,-25.46,-15.81,4.08,1.46,-2.51,0.38,6.874129935,1.927765081
14,MBS202HBA-1,2438-2430/ II,Upper Bassein,04.03.2025,97.80,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.11,2.02,0.00,0.00,0.08,-39.10,-,-,-,-,-,-,-,920.02,-,-,-,920.023535,6.824399251
15,MBS202HBA-1,2516-2502/ I,Lr Bassein,09.02.2025,58.04,15.96,0.07,0.00,0.00,0.00,0.00,0.00,21.64,24.33,1.61,0.00,0.00,-41.84,-28.10,-,-,-,-,-,-17.90,3.62,241.95,-,5.49,3.637086205,1.291182868
"* Gas samples of Well BS-19, 2281.81/ MDT is found to be contaminated with air ",,,,,,,,,,,,,,,,,,"Wetness Index (%), C2+ = sum of (C2-C6+)/(C1-C6+)* 100",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"
(Nisha Choudhary)
Suptdg. Chemist



(Sunil Kumar Singh)
Chief Chemist
I/c-Stable Isotope Lab



(Anuja Dubey Sinha)
CGM(Chem)
I/c-Labs, Geochemistry Group


",,,,,,"
",,,,,,,,,,,,,,,"

(Vidushi Joshi)
Senior Chemist",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
