Well Name,Ol/Ol+30H (1+2),BCD(1+2)/30H+BCD(1+2)_217,T/T+30H,olenoid(C)/C30H+Ole,BNH/BNH+30H,BNL/BNL+30H,
1,0.31,0.08,0.05,0.21,0.25,0.12,Formation 1
2,0.31,0.07,0.04,0.21,0.27,0.12,Formation 2
3,0.36,0.09,0.05,0.23,0.28,0.15,Formation 3
4,,,,,,,Formation 4
5,0.31,0.08,0.04,0.21,0.27,0.12,
6,0.31,0.08,0.05,0.22,0.27,0.15,
7,0.26,0.07,0.03,0.16,0.22,0.11,
8,0.33,0.08,0.03,0.24,0.29,0.13,
9,0.38,0.08,0.08,0.24,0.30,0.16,
10,0.35,0.08,0.07,0.22,0.27,0.15,
11,0.34,0.07,0.06,0.24,0.27,0.15,
12,0.33,0.08,0.06,0.22,0.27,0.15,
13,0.33,0.08,0.04,0.24,0.28,0.13,
14,0.35,0.08,0.07,0.25,0.28,0.16,
15,0.34,0.08,0.06,0.22,0.28,0.14,
16,0.37,0.08,0.09,0.21,0.27,0.15,
17,0.14,0.04,0.02,0.08,0.12,0.04,
18,0.27,0.07,0.03,0.19,0.24,0.12,
19,,,,,,,
20,0.32,0.06,0.03,0.17,0.22,0.09,
21,0.32,0.07,0.04,0.20,0.29,0.12,
22,0.31,0.07,0.04,0.20,0.23,0.12,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,0.38,0.16,0.08,0.26,0.36,0.17,
29,0.35,0.18,0.07,0.26,0.38,0.16,
30,0.41,0.18,0.14,0.34,0.24,0.17,
31,0.41,0.19,0.18,0.37,0.13,0.18,
32,0.37,0.27,0.13,0.39,0.14,0.23,
33,0.39,0.20,0.22,0.39,0.17,0.26,
34,0.21,0.15,0.01,0.23,0.04,0.11,
35,,,,,,,
36,0.36,0.22,0.183,0.38,0.15,0.25,
37,,,,,,,
38,,,,,,,
